date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:31:18	1479/1479	---MCZ	404	error ('Not%20Found')	text/html	etag:1686827582-ssl-df	https://diabetes-permanent-cure.netlify.app/robots.txt		(from )
23:31:22	34023/34023	---MCZ	200	added ('OK')	text/html	etag:%226620867960770519e8f75d054e32edea-ssl-df%22	https://diabetes-permanent-cure.netlify.app/	C:/My%20Web%20Sites/ULTRACURE/diabetes-permanent-cure.netlify.app/index.html	(from )
23:31:22	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2025%20Jul%202023%2022:30:40%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/ULTRACURE/www.googletagmanager.com/gtm.05445.delayed	(from https://diabetes-permanent-cure.netlify.app/)
23:31:24	160392/160392	---M-Z	200	added ('OK')	text/css	etag:W/%2227288-jtLWNQ0j+FfZKAVzfQ+XxnXeZms%22	https://cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/ULTRACURE/cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/css/bootstrap.min.css	(from https://diabetes-permanent-cure.netlify.app/)
23:31:25	27466/27466	---MCZ	200	added ('OK')	text/css	etag:W/%224fbd15cb6047af93373f4f895639c8bf%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/My%20Web%20Sites/ULTRACURE/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from https://diabetes-permanent-cure.netlify.app/)
23:31:25	19901/19901	---MCZ	200	added ('OK')	text/css	etag:%22dca45f6f71fbabd271ac377bbb0d5eae-ssl-df%22	https://diabetes-permanent-cure.netlify.app/boblives.css	C:/My%20Web%20Sites/ULTRACURE/diabetes-permanent-cure.netlify.app/boblives.css	(from https://diabetes-permanent-cure.netlify.app/)
23:31:26	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	C:/My%20Web%20Sites/ULTRACURE/code.jquery.com/jquery-3.5.1.min.js	(from https://diabetes-permanent-cure.netlify.app/)
23:31:27	63240/63240	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f708-DE6ERfbwyWEdwcE9xvCF60vKygs%22	https://cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/js/bootstrap.min.js	C:/My%20Web%20Sites/ULTRACURE/cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/js/bootstrap.min.js	(from https://diabetes-permanent-cure.netlify.app/)
23:31:29	34023/34023	---MCZ	200	added ('OK')	text/html	etag:%226620867960770519e8f75d054e32edea-ssl-df%22	https://diabetes-permanent-cure.netlify.app/index.html	C:/My%20Web%20Sites/ULTRACURE/diabetes-permanent-cure.netlify.app/index-2.html	(from https://diabetes-permanent-cure.netlify.app/)
23:31:29	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1686827582-ssl-df	https://diabetes-permanent-cure.netlify.app/img/logos.png	C:/My%20Web%20Sites/ULTRACURE/diabetes-permanent-cure.netlify.app/img/logos.7.delayed	(from https://diabetes-permanent-cure.netlify.app/)
23:31:30	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1686827582-ssl-df	https://diabetes-permanent-cure.netlify.app/blog.html	C:/My%20Web%20Sites/ULTRACURE/diabetes-permanent-cure.netlify.app/blog.8.delayed	(from https://diabetes-permanent-cure.netlify.app/)
23:31:31	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1686827582-ssl-df	https://diabetes-permanent-cure.netlify.app/about.html	C:/My%20Web%20Sites/ULTRACURE/diabetes-permanent-cure.netlify.app/about.9.delayed	(from https://diabetes-permanent-cure.netlify.app/)
23:31:32	5797/5797	---M--	200	added ('OK')	image/jpeg	etag:%22be2390d142908e31a581a7dbd797d729-ssl%22	https://diabetes-permanent-cure.netlify.app/img/compli.jpg	C:/My%20Web%20Sites/ULTRACURE/diabetes-permanent-cure.netlify.app/img/compli.jpg	(from https://diabetes-permanent-cure.netlify.app/)
23:31:33	4295/4295	---M--	200	added ('OK')	image/jpeg	etag:%2243cec67ad735b2c9238418ac556c84c3-ssl%22	https://diabetes-permanent-cure.netlify.app/img/comp.jpg	C:/My%20Web%20Sites/ULTRACURE/diabetes-permanent-cure.netlify.app/img/comp.jpg	(from https://diabetes-permanent-cure.netlify.app/)
